                user     system      total        real
find        5.210000   2.240000   7.450000 (  8.275189)
Thread ID: 69971917711720
Total: 7.450000

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00        2  Object#returning (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/core_ext/object/misc.rb:38}
  0.00      0.00     0.00     0.00     0.00        1  Thread#[]= (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00    10000  Hash#initialize (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#logger (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/core_ext/class/attribute_accessors.rb:19}
  0.00      0.01     0.00     0.00     0.01        1  ActiveSupport::CoreExtensions::String::Inflections#demodulize (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/core_ext/string/inflections.rb:86}
  0.00      0.00     0.00     0.00     0.00        2  Fixnum#< (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        2  Struct::Tms#stime (ruby_runtime:0}
  0.00      0.01     0.00     0.00     0.01        1  <Class::ActiveRecord::Base>#undecorated_table_name (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1849}
  0.00      0.00     0.00     0.00     0.00        1  ActiveSupport::Inflector#underscore (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/inflector.rb:207}
  0.00      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#postgresql_version (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/postgresql_adapter.rb:919}
  0.00      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Hash::Keys#symbolize_keys (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/core_ext/hash/keys.rb:22}
